,method,device1,device2,device3,device4,curvature,$W$,$H$,$L$,$A{_3}$,$A{_1}$,$W$$/$$H$,$A{_2}$$/$$A{_1}$,${\rho}_\mathrm{d}$,${\rho}_\mathrm{c}$,$\mu_\mathrm{d}$,$\mu_\mathrm{c}$,$\gamma$,$\mu_\mathrm{d}$$/$$\mu_\mathrm{c}$,$Q_\mathrm{d}$,$Q_\mathrm{c}$,$u_\mathrm{d}$,$u_\mathrm{c}$,$Q_\mathrm{d}$$/$$Q_\mathrm{c}$,$u_\mathrm{d}$$/$$u_\mathrm{c}$,$\mu_\mathrm{c}$$u_\mathrm{c}$,$d_\mathrm{av}$$/$$d_\mathrm{e}$
60,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,25.0,400.0,0.0207233,0.034802965,0.0625,0.595446394,0.033937224,0.8208904381034289
61,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,25.0,600.0,0.0207233,0.052204447,0.041666667,0.396964266,0.050905835,0.7257147351349155
62,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,25.0,800.0,0.0207233,0.06960593,0.03125,0.297723197,0.067874448,0.6614711356311689
63,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,25.0,1000.0,0.0207233,0.087007412,0.025,0.238178559,0.084843059,0.601986321275848
64,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,25.0,1200.0,0.0207233,0.104408895,0.020833333,0.198482131,0.101811672,0.5591572549400168
65,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,25.0,1600.0,0.0207233,0.13921186,0.015625,0.148861598,0.135748895,0.5187075811783985
66,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,50.0,400.0,0.0414466,0.034802965,0.125,1.190892787,0.033937224,0.8589607192908343
67,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,50.0,600.0,0.0414466,0.052204447,0.083333333,0.793928533,0.050905835,0.7709231940449593
68,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,50.0,800.0,0.0414466,0.06960593,0.0625,0.595446394,0.067874448,0.7185765574122769
69,1.0,0.0,0.0,1.0,0.0,0.0,0.583,0.328567,0.583,0.020106193,0.191554561,1.774371742,1.0,653.0,997.0,0.595,0.9751245,5.13,0.610178495,50.0,1000.0,0.0414466,0.087007412,0.05,0.476357118,0.084843059,0.6590917430569561
